,review,Author Name,Review Date,Reviewer Ratings,Review Body,Developer Reply
0,1,横田直樹,2019年5月3日,2,歌詞見れるいいずれ誤字あるあとお気に入りプレイリスト開くライブラリ更新リセットれるマジ入れライブラリ無くアーティストある現象あっ皆さん仰っLISMO圧倒的使いLISMO無くすもっと機能改善お願い本当に,
1,2,ゆきゆき,2019年5月1日,1,通知切る方法分かりすぎる見る新たアプリ入れ通知切れ判明アプリ開発若者毎日アクティブ新曲買っ聴く人間理解,
2,3,s tat,2019年4月30日,1,どうしてもLISMO比べダウンロード反映LISMO動画一覧表示パス分離とにかく使いLISMO慣れとにかく使い,
3,4,NISHII YASUKO,2019年4月29日,1,以前購入機種だぶっダウンロードれる消す出来機種するダウンロード出来有るガラケー購入スマ出来有り,
4,5,kimi oh,2019年5月4日,1,LISMOライブラリ開けなっ愛着あっLISMO使っ消し下らないうたパスLISMOいらついて最早クソアプリありミュージックストア絶対買い,
6,7,Googleユーザー,2019年4月20日,1,au端末シムフリー端末使用au端末反応鈍くタッチ再生かかるシムフリー端末プレイリスト音楽消えlismoトラブル無かっ使いなっうたパスうたパス提供lismoプレイヤー提供現在うたパスプレイヤー使っ機能知らプレイヤー言う他社プレイヤーいっぱいある下位思うマトモ使え,
7,8,MA CA,2019年4月18日,2,起動重い音楽聞いバックグラウンドアプリ消し音楽聞けバックグラウンド使え結構愛用もういら,
8,9,佃隆宏,2019年4月26日,4,アルバム音量あげさげ-★ひとつ,
9,10,にしえみ,2019年4月23日,2,購入楽曲購入流れる聞き購入楽曲聞い聞け聞こする操作必要なる,
10,11,Yuya,2019年4月25日,1,様々不具合対応起きトラブルそれ以前挙げ評価記載ありいつ改善思っ,
11,12,おかとも,2019年4月30日,1,LISMO良かっ使い勝手悪くなりプレーヤーバックグラウンド再生それできなっ,
12,13,宝くじ,2019年5月5日,1,lismo代わりできゴミアプリ遅いわかり払うauユーザーサービス低下アプリauアプリ多かっ,
13,14,ここここ,2019年4月20日,1,使いダウンロードらい無駄機能ビデオ再生する余計使い,
14,15,狼音牙,2019年4月22日,1,LISMO使えなっ早くもどせうたパスLISMO使い,
15,16,岩田将,2019年3月29日,1,正直辛いLISMOガラケー使っ今さら新しく使えワケわからアプリ作る必要あっ疑問プレイリスト消えウィジェット再生できいちいちアプリ開か聞け何で仕様理解苦しむこれアプリ変わらLISMO利点全部無くなっ個人思うレビューこれ評価批判レビュー多い早急対処顧客離れる世の常開発是非レビュー参考より良いアプリ作っ,
16,17,toi moko,2019年4月15日,1,本当にうたパスLISMO統合疑問思うLISMO使いロード短い保存指定出来うたパスロード長く保存指定出来うたパス担当疑問思い最近金儲けユーザー無視見かけ,
