name,date,rating,content
岡﨑愛,2020年4月19日,2,アプリをダウンロードしたばかりで、バックグラウンドで聴いています。星の理由は曲のダウンロードが出来ないこと、聴いている途中で止まり（3分一曲につき8回程）、イヤフォンのコントロール機能では2回押さないと再び再生が出来ないこと。また、それでも再出来ずに広告のような音楽が流れることです。他のアプリは分からないので使用していません。曲数が多いのは良いと思います。ですが曲を聴くことに支障をきたす程なので、改善して頂きたいです。
枝垂れ桜,2020年4月9日,5,"ダウンロードはネットが必要ですが、その後はオフラインで聞くことが出来てとても便利です。 オフラインで聞けないという人は、 曲を""プレイリスト”に追加"
横井詩 uta,2020年4月4日,4,広告をあまり見たくない方は、下のタブにある本人→右上のアイコンを押すと、30秒間の広告を見る代わりに、6時間広告を見なくてもよくなります。基本的には何でもダウンロードできるのでいいですね。拡張子がmp3の方がm4aなのが良くも悪くも、って感じです。
りんごあめ,2020年4月3日,1,音楽をダウンロードしようと思ったら、ダウンロードマークが無くて、追加しかない状態だった。その上どれだけ待っても再生ができない。しょうがないから追加だけでいいかと思って追加を押したらエラーが起きるのでとても不便です。どうにかできないでしょうか？
大西みや,2020年3月23日,5,個人の感想ですが、色々な曲が聞けて使いやすいし、とても便利なアプリだと思います ですが、歌詞が表示されないのとされるのがあってややこしいです。 出来れば曲全部を歌詞付きにしてください。 よろしくお願いします^^* これからも頑張ってください
猫人間,2020年4月2日,5,このアプリの良いところは720画質でYouTubeの動画をダウンロードできる所です。広告も凄く少なく、広告がでたら戻るボタンを押すとスキップできます。 非常に残念だった所はiPadにこのアプリがなかったことです。
RINK,2020年4月10日,4,とてもいいです！オフラインで使えて、音声だけダウンロードできる点もいいと思います。 ただ、プレイリストを作っても決められた順番でしか再生できないので、シャッフル機能がついているともっといいなと思いました。また、ときどきダウンロードができないことがあります。 これらのことから、星4の評価です。
狂いのさくらもち,2020年4月18日,4,曲のダウンロードも出来て愛用させていただいてます！ 1つ気になることがあるのですが 再生リストを並べ替えて再インストールした時に開いてみると元の場所に戻ってるんです… それが直れば完璧！星5！！
アムロレイ,2020年3月24日,5,いろんな音楽アプリを使って来ましたが、バックグラウンドで聴けるアプリがなかなか無かったので重宝してます。 しいて言えば、オリジナルが聴きたいのに、歌ってみた！っていうのが多すぎて検索が大変です。
暁鈴,2020年4月8日,5,自分が求めていたものが手に入った感じです！とても良いと思います容量を使う代わりに
sakuhana_TAMASAN2019 tamami sato,2020年4月12日,4,オフラインで聴けて、しかも プレイリストに入れた曲の順番が変えられて嬉しい！ 音も良い！ですが、フルヴァージョンの曲が少ない、もう少し沢山聴きたいです！フルで！ お願いします。
中杉忍,2020年4月11日,3,大変使いやすく、楽曲をダウンロードさえすればオフラインでも使えるので重宝します。 しかし、使って行くうちに、広告の頻度が多くなるので、広告の量には気をつけて頂きたい所存にございます。
あやあや,2020年4月4日,5,使いやすかった。 何だこれ、すごい使いやすい! 絵を描いてるときも聞けるのはほんっと有り難いです! しかもダウンロードできちゃう。 最強でしょこれ。 ありがとうございます!
Eve FPS,2020年3月21日,5,自分は、まずWiFiを使わなくても使えると言うことが目に入りました1回インストロールしてやってみましたがほんとにWiFiを使わなくてもできたのであっ曲を入れる時は、WiFiを使いますがそれ以外は、ほんとにWiFiは、使いません！今でもこのアプリは、好きで朝、昼、夜聞きながらやったり、音楽を聴きながらYoutubeを見ながらでも！なので好きです
桐谷真央,2020年4月8日,3,とてもいいアプリだとは思いますが、 曲のダウンロード方法がよくわかりません。 説明を細かく記載していただけたら嬉しいです。また、無料会員の人はシャッフル再生で、広告がかなり多く入ってくるので少し使いにくいです。 それ以外は完璧だと思います。
すちがみ様,2020年3月17日,4,オフラインで再生できるのがいいと思います。ギガをなるべく外では使いたくないので、家でダウンロードしておけば、外でも聞けるのがいいです。お気に入りなども設定できるのでダウンロードした曲を探す手間が省けます。動画再生でもダウンロードできるので、歌詞着きなどを探し歌詞を見ながら歌えるのがいいです。でもたまに広告が出るのですが、探した曲の一覧の間間にあるので、間違って押してしまい、広告動画を飛ばすのが面倒です。それを気にしない人は完璧なアプリだと思います。凄く便利です。これからも使わせていただきます。ありがとうございます。
kana mya,2020年2月2日,4,たまに曲の保存が出来なくなったりして 少し戸惑う事もあるので星4にさせて 頂きました。しかし、広告も最初に チラッと出てくるだけでそんなに気にならないし、とても良いです！！また画面を消しても曲が流れてきてくれるので とても重宝しております！
