name,date,rating,content,like
yuka t,2020年4月14日,1,いちいちアプリを立ち上げてライブラリから曲を選択して再生…。 非常に不便です。 時間がたってから再生したい時も途中から聴けなくて、些細な事ですがイラッとします。 LISMOがそれなりに便利だったのでLISMOに戻してほしい。,40
アライグマ,2020年4月16日,3,他の携帯繋げても無料で聴けるのはいい。でも月額払って仮に間違えて違う曲を保存した時に削除すると枠が返ってこないのは納得出来ない。 これで枠が返ってくる仕様になったら☆5だね。,14
tetuya s,2020年4月15日,1,初めて使ったが、どんなアーティストがいるか、わからないので、アーティスト別検索見てたら、全アーティスト出る前に最初に戻される。使いずら！なので、アンストです。,12
長澤みほ,2020年4月3日,1,ログインボタンを押すと「不明なエラー」と表示されます…不明なエラーとはいったい？長年auユーザーですがまさかの事態💦それなら今までに費やしてきたモノは無意味になるのでしょうか？特にmyうたは費用が必要では？解約を検討した方がよいのでしょうか？,28
Hiromi Matsuyama,2020年4月15日,5,音質もいいしBluetoothにつないで車の中で聴くのがお気に入りです。 毎日更新されるのも嬉しい！,1
松尾みさと,2020年3月23日,1,20秒、30秒ほど無音で再生ということが時々ある。 3、4秒無音後に再生も多い。 いちいちうたパスを開いてからじゃないとダウンロードしてる曲が再生できない。 今までLISMOで聴いていてこんなことなかった。サービス終了して、うたパスをご利用してください。っていうぐらいなら、他の方も言うようなの改善してからにしてください。 これは言ったってどうしようもないけど、LISMOサービス終了してほしくなかった。 LISMOで今後もしてほしかった。(ほんとは今後もLISMOがいい。),81
桜木百花,2020年3月20日,1,断然、LISMOの方が優秀だった！うたパスなんて必要無かった！車でBluetooth接続して曲を聞くのに、いちいちアプリを立ち上げて、お気に入り選んで、楽曲選んでって毎回しなくてはいけない。LISMOの時はBluetoothに接続するだけで良かった。私の使い方が悪いのだろうか？それともBluetooth機能が悪いのか？設定も色々試してみたがLISMOの時みたいに使えない。他の音楽アプリの方がいいかもしれない。,53
shiori inayoshi,2020年4月8日,2,有料会員です。Bluetoothで車内オーディオと接続して楽曲を聞いています。SDLでアプリが起動するところまではいいのですが、音楽の再生は手動なので、あらかじめ再生したいリストなどを設定して起動時に自動再生できたらいいのになと思います。 Myうた保存はやり直しがきかないので間違えてしまったときのリカバリ方法があればより良いです。 アプリの利便性向上に期待します。,24
らあやにりにひち,2020年4月11日,1,曲を購入しているにも関わらず、再生直後数秒間音声が流れない不具合がいつまでも続く。正直このアプリを使いたいとは思えないほどの不満を覚え、最近はほぼ使っていない。金を溝に捨てた気分,3
土屋国峰,2020年4月9日,5,先週から、ミュージックストア（レコチョク）で購入した楽曲が、ダウンロードしてもミュージックプレイヤー（うたパス）のライブラリに反映されておりません。再ダウンロードしても改善されません。アップデートで解消お願いします‼️,25
かがやとしゆき,2020年2月18日,1,改善希望 「オンラインプレイリストのスキップ回数を無制限にしてほしい」 スマパスプレミアで利用していますが、スキップ回数に制限があるため、聴きたい曲は聴けません。 ダウンロードは有料で、無料のオンラインプレイリストを聴きっぱなしにすると、一時間で150MB消費されます。 聴きたい曲はYouTubeと使い分けしていますが、それなら別のプレイヤーでも良いかもしれません。,5
ロロホホニ,2020年2月25日,1,みんな書き込んでる内容だけど、少し使ってなかっただけで勝手に終了して、曲を続きから聴けないのは本当に不便。また、再生プレイヤーとして使いたいのに、起動したらまずうたパスに繋がって、そこから操作する必要がある。ストレージ内の音楽を聴くのにこんな不便なアプリはないと思う。リスモを返してください。,97
凪,2020年3月20日,1,LISMOだけで十分、比べると歌詞の検索精度低いし。しかもウィジェットってさ、アプリ開かなくて良いっていうのが最大のメリットなのにアプリ開いてからじゃないとウィジェット操作できないとか、欠陥過ぎて意味不明。しかもライブラリの操作が全体的に重い、しかも音楽調べるわけでもないのに開いてるだけで通信取りすぎでしょ、完全に企業からの回し者で草。,34
O kazu,2020年2月29日,2,Android10にアップデートしてからか、アプリ自体のアップデートか分かりませんが、 4秒まで無音で、急にフェードインして再生されるようになりました。 曲を殺してるので、早急に無くしてほしいです。 あと、アプリを立ち上げてすぐプレーヤーに直結できるようにしてほしい。 トップ→プレーヤー→プレイリスト→再生の操作が煩わしすぎます。,33
あべひろみ,2020年3月22日,3,CDレンタルや買う事が無くなったので、新しい曲聞くのに便利☆だが、ジャニーズが嵐しかないのが残念。 auスマートパスプレミアム会員だから一応無料で利用出来るが、通信少し食うので車で運転中に聞けないのが残念。家事や料理してる時に聞いてます。,1
オクススさき,2020年4月6日,3,K-POPを好んでよく聞きますがプレイリストで再生すると日本語の曲ばかり流れます… K-POP好きな人は日本語版あまり好まないのではないでしょうか…？(^o^; 回数制限があるので飛ばす事もなかなかできないので… 広告で韓国語で聴ける！と言ってるならもっと韓国語だけのプレイリスト増やしてほしいです…,12
邦ロック日記,2020年3月23日,3,アーティスト数や曲数に不満は特にないが、定期的にMyうたが再ダウンロードしないといけなくなったり、特定のアーティストの曲が途中まで再生されて別の曲に飛ぶなどの不具合が発生しているのでそこを改善してほしいです。,8
olive basil,2020年2月2日,2,有料会員に移行しましたがあまり使い勝手が良くないです。まず曲の途中の早送りができないのでサビで曲を探す時に不便…歌詞で検索できないのも不便。そしてmyうた毎月増やせても上限があるようなのでそうなると有料のメリットが半減するような気がします。他の方のレビューの通り曲目リストの上に他のアーティスト聞いてみませんか？は要らないです!!間違えてクリックしてまた再生リスト起こし直すの面倒なので…,25
まーくん,2020年4月2日,1,携帯のOSアップデートでLISMOが更新されなくなった為使用し始めたものの、Bluetooth接続しても起動しない、いちいちアプリを開いてライブラリを操作しないと再生出来ない、ライブラリ内の検索機能もないと全く役に立たず せめてLISMOでできた機能は実装していただきたい,6
樺晴夫,2020年2月10日,2,些細な事なのですが、ほぼ毎回、リピートなどの設定がリセットされることにストレスを感じます。 以前は一度リピートなどにすると次回以降もその設定のままだったのですが、最近ほぼ毎回リセットされ、気づかず再生しているものだから急に曲がかからなくなり、開けたら通常再生になっていたということが起きています。 本当に些細なことではありますが、毎回設定し直すことにストレスを感じます。,18
嵐loveさえgoo,2020年2月14日,1,以前はなかった動作不良が多々あります。 1度音楽を止めると、プレーヤー自体が止まってしまい、最初から操作しないと行けなくなったり、メールなどを受信してその後曲が再生されなかったり。 最近は好きな音楽を聞きただけなのにストレスばかりです。 何とかして下さい。,34
表秀則,2020年3月15日,3,音楽にはあまり詳しくないから、誰の曲を、もしくはどの曲を聴きたいか自分でもわからない時、とっても有り難いアプリです。 新しい曲や、流行りの曲を聴くことができるのと、特にありがたいのが、その曲が誰の何というタイトルかを知ることができる所です。 auスマートパスプレミアムに入り続けるモチベーションにもなってます。,45
爽樂,2020年2月11日,2,プラスプラン会員に入っていると月に好きな曲を10曲まで保存できるのですが、バグか何かで保存曲した曲が全部消えていました。履歴の欄みたいな所からまた保存はできるのですがその保存に何枠か使ってしまい、結局好きな曲を保存することが出来ませんでした。削除してないのに削除されて好きな曲が聞けなくなって辛いです。別のアプリで音楽聴こうかと考えています。,13
江戸紫,2020年3月16日,2,2020/3/1　Android 9にて、PCからSDカードに転送したCD楽曲を認識し再生も可能だが、削除が効かない。 2020/3/16　1度アップデートがあったが修正されていない。内部ストレージを圧迫したくないのにSDカードでまともに扱えない(カード上の不要な楽曲はうたパスからではなくファイル操作アプリで消さなければならない)とはどういうことか！,13
MINN KURU,2020年3月7日,2,使いにくい 旧バージョンをずっと使っていたのですが、先日旧バージョンのサポート終了ということで漸く新バージョンを使い始めました。 ・動画と曲をまとめて表示ができない ・一気にプレイリストに入れようとすると50音順にしか出来ない ・折角歌詞検索で出しても次に聞くときにはリセットされている この3つが特に不便に感じました。 あとは分秒の調整が旧バージョンに比べてやりにくいことですが、それはおいおい慣れると思うので上の3つをとにかく直して欲しいです(リスモを返してほしいとは思いますが無理なのでせめて)。 よろしくお願いいたしますm(__)m,24
タニヤマコーエイ,2020年4月12日,1,プレミアム会員なので、無料でベーシック申し込みと同じサービスを受けれてフルで楽曲を聞けたのに、急に30秒の視聴しか出来ない画面しか表示されなくなった。 おかしいよ。凄いストレス❗,1
ゼンリョクそっしー,2020年2月4日,2,有料会員になってそこそこ重宝していたのですが、ネット環境が悪いわけでもアプリを更新していないわけでもないのに再生中に突然音が途切れる事が頻繁に起きるようになりました。ちなみに機種はGalaxyS8です。IOSの都合なら致し方ないのかもしれませんがアプリの不具合なら即刻改善して頂きたいです。,18
花*花,2020年3月12日,4,簡単にお気に入りの曲が見つけられ、何度も再生できる手軽さが最高です。ひとつ言うなら、うたパスに間違ってダブって登録してしまっても削除はできても枠は戻らない事が不満です。 なぜ枠を戻せないんでしょうか⁉️,2
かがやき,2020年4月8日,1,うたパスとの同期が切れて毎回うたパスにつなぎ治さないと音楽が聞けないのが面倒。 もともとLISMOを使ってたけどダウンロードした音楽が聞けなくなってうたパスで聞いてるけど使い勝手が悪いって感じる。,3
yuu Shin,2020年2月9日,1,機種変をし、うたパス内からリスモのライブラリが消えてしまった...うたパスプレイヤーはイコライザが１０dBまでしか調整ができない上にリバーブ機能もなくなっていた...同じ機能がご利用いただけますとauでは説明しているがごみプレイヤーでしかなくなった...お気に入りの音響設定を返してほしい... 追記、バスブーストがいちいち切れる。そのくせにイコライザー設定はLISMOプレイヤーと違ってすぐ開くところにない。,23
濱中一輝,2020年2月17日,2,機種変しました。今まではウィジェットからすぐに曲が聴けたのに毎回うたパスが開いてライブラリからかけないと曲が始まらない。私の設定が悪いのかもしれないがウィジェットの意味がない。LISMOがよかった。,18
八木祐治,2020年2月28日,1,高いプランで使ってるがエラーが２日に一回でては、登録曲全て再ダウンロードさせられる。その膨大な手間と時間は、どこに苦情を出せばいい？ 消費者生活センターか？ 詐欺みたいなアプリ。 auは他のまともな音楽アプリないのか？,16
Super Doc-tor K.K,2020年3月14日,1,どんどん不便になっていく。最近のアップデートに至っては「1曲のみリピート再生」「リストの最後の曲の再生が終わったら、リストの先頭の曲の再生が始まる」といった、音楽プレイヤーが当たり前に備えている機能が削除された。,25
長月水葉,2020年4月7日,1,myうたプラスプランで保存した曲なのに、再生すると通信が発生する。 色々弄ってみたけど直らないし、お金払ってる意味がない。 月末までに直らなそうなら解約予定,1
